family,Cells: Phenotypic/Other,General Assays and Safety,Enzymes: Phosphatases,Pathogen: Parasite,Pathogen: Bacteria,Cells: Breast Cancer,Pathogen: Virus,Enzymes: General Metabolism,Cells: Colorectal Cancer,Cells: Lung Cancer,Transporters and Ion Channels,Cells: Cervical Cancer,Proteins: Neurodegeneration,Cells: Melanoma,Enzymes: Inflammatory COX/PG,Cells: Liver Cancer,Enzymes: Tyrosinase,Enzymes: Carbohydrate Metabolism,Enzymes: Kinases,Enzymes: Steroid Metabolism,Proteins: Inflammatory Response,Cells: Hematologic Cancer,Enzymes: Proteases,Enzymes: Lipid Metabolism,Cells: Prostate Cancer,Proteins: Growth Factors,Enzymes: Cholinesterase,Receptors: Nuclear,Proteins: NF-kB/TNF Signaling,Enzymes: CYP450
Bixaceae,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1
Blechnaceae,0.25,0.75,0.25,0.5,0.25,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0.25,0.5,0.25,0,0.25,0,0.25,0,0.25,0,0,0,0,0.25
Bonnetiaceae,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0
Boraginaceae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brassicaceae,0.5,0.3888888888888889,0.1111111111111111,0.1111111111111111,0.2777777777777778,0.16666666666666666,0.4444444444444444,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.3888888888888889,0.05555555555555555,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.2777777777777778,0.2222222222222222,0.3888888888888889,0.3333333333333333,0.2222222222222222,0.05555555555555555,0.2777777777777778,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.2222222222222222
Bromeliaceae,0.21428571428571427,0.7857142857142857,0.14285714285714285,0.35714285714285715,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.14285714285714285,0,0.6428571428571429,0.07142857142857142,0.2857142857142857,0,0.07142857142857142,0.21428571428571427,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.14285714285714285,0,0.07142857142857142,0.07142857142857142
Burseraceae,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.14285714285714285,0,0,0.14285714285714285,0,0.14285714285714285,0,0.2857142857142857,0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0,0.2857142857142857,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0,0,0,0,0,0,0.14285714285714285
Cactaceae,0.3333333333333333,0.6666666666666666,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.6666666666666666,0,0,0.3333333333333333,0,0.6666666666666666,0.3333333333333333,0,0,0.6666666666666666,0,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0,0
Calceolariaceae,0.6666666666666666,0.3333333333333333,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0,0.3333333333333333,0,0,0,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333
Calophyllaceae,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.1111111111111111,0,0.3333333333333333,0,0,0,0,0,0.2222222222222222,0.1111111111111111,0.3333333333333333,0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0,0.2222222222222222,0,0.2222222222222222,0,0.1111111111111111,0,0,0,0,0.1111111111111111
Campanulaceae,0.25,0.5,0,0.25,0.25,0,0.25,0.5,0,0,0.25,0,0.75,0.25,0,0,0.5,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0
Cannabaceae,0.43333333333333335,0.4666666666666667,0.06666666666666667,0.13333333333333333,0.1,0.2,0.03333333333333333,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.13333333333333333,0.43333333333333335,0.23333333333333334,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.2,0.13333333333333333,0,0.03333333333333333,0,0.1,0.03333333333333333,0.16666666666666666,0.06666666666666667,0,0.13333333333333333,0.06666666666666667,0.03333333333333333
Capparaceae,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Caprifoliaceae,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.3333333333333333,0,0.3333333333333333,0,0,0,0.6666666666666666,0,0.3333333333333333,0.6666666666666666,0,0,0,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0,0,0.3333333333333333
Caryophyllaceae,0.25,0.5,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0.25,0.25,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0,0.25
Casuarinaceae,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celastraceae,0.4,0.6,0.2,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.06666666666666667,0,0.13333333333333333,0,0.4666666666666667,0,0.3333333333333333,0,0.06666666666666667,0.2,0.2,0.2,0.13333333333333333,0,0.2,0,0.06666666666666667,0,0,0.06666666666666667,0.06666666666666667,0.13333333333333333
Cephalotaxaceae,0.2,0.6,0.2,0.4,0.2,0,0.2,0,0,0,0,0,0.6,0.2,0.4,0,0.4,0.4,0.2,0,0.2,0,0.2,0,0.2,0,0,0,0,0.2
Cercidiphyllaceae,0.5,0.5,0.25,0.25,0.5,0,0.5,0.5,0,0,0.25,0,0.75,0.25,0,0,0.5,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0
Chloranthaceae,0.2,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0.2,0
Chrysobalanaceae,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.16666666666666666,0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,0,0.6666666666666666,0,0.6666666666666666,0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0.3333333333333333,0,0.16666666666666666,0,0,0,0,0.16666666666666666
