family,fine_clade,analysis_clade,n_compounds_structural,n_scaffolds,median_mw,median_logp,median_tpsa,median_fsp3,prevalence_phenolic,prevalence_methoxy,prevalence_prenyl,prevalence_sugar,prevalence_enone,n_occurrence_rows,n_compounds,n_species,n_genera,n_references,n_classes,rarefied_scaffolds_5,rarefied_scaffolds_10,rarefied_scaffolds_20,n_exclusive_scaffolds,novelty_ratio,exclusive_scaffold_share,expected_scaffolds,effort_adjusted_novelty,effort_adjusted_novelty_z
Cyperaceae,Monocots (Commelinids),Monocots,69,8,316.3090000000001,3.0396200000000015,86.99000000000001,0.21052631578947367,0.927536231884058,0.6086956521739131,0.2318840579710145,0.028985507246376812,0.34782608695652173,156,69,86,32,12,6,3.160241572884254,4.223759873860189,5.331008048573655,1,0.11594202898550725,0.125,15.902769062641529,-0.6302528810313315,-1.881920848692844
Daphniphyllaceae,Saxifragales,Early eudicots & Saxifragales,6,3,432.3810000000001,-0.39200000000000007,170.04999999999998,0.42857142857142855,1,0,0,1,0,6,6,1,1,2,3,3,,,0,0.5,0,2.4308943454761054,0.15347339180804753,0.4582680769194472
Davalliaceae,Ferns,Non-seed vascular plants,28,9,535.5020000000003,1.6502999999999997,220.75999999999996,0.2270220588235294,1,0,0,0.35714285714285715,0,45,28,2,1,8,3,4.1037240537240525,6.5029304029304,8.621652421652419,2,0.32142857142857145,0.2222222222222222,7.562827949438674,0.15515458947478322,0.46328809512963776
Dennstaedtiaceae,Ferns,Non-seed vascular plants,5,4,564.5400000000003,-0.5111000000000008,204.82999999999998,0.5185185185185185,1,0,0,0.6,0.2,6,5,3,3,4,1,4,,,0,0.8,0,2.155249435501823,0.4603703591851045,1.374655480595238
Diapensiaceae,Asterids (Basal),Asterids,2,1,290.271,1.5460999999999998,110.38000000000001,0.2,1,0,0,0,0,2,2,1,1,1,1,,,,0,0.5,0,1.2104597905767478,-0.10005336336503656,-0.29875708015866237
Didiereaceae,Caryophyllales,Caryophyllales & Santalales,4,1,354.3345000000001,2.32634,126.56500000000001,0.27554179566563464,1,0.5,0,0,0,4,4,2,2,2,2,,,,0,0.25,0,1.8653537346159381,-0.35954462956499744,-1.0735921322671071
Dilleniaceae,Other Eudicots,Early eudicots & Saxifragales,7,3,466.3950000000002,-1.340600000000001,206.59999999999997,0.38095238095238093,1,0.14285714285714285,0,0.8571428571428571,0,7,7,2,2,2,2,2.7142857142857144,,,0,0.42857142857142855,0,2.69635309474721,0.07894767761048649,0.2357359798307185
Dioscoreaceae,Monocots,Monocots,30,14,848.7630000000004,2.9950000000000028,322.6650000000001,0.2,0.9666666666666667,0.2,0.03333333333333333,0.16666666666666666,0.2,44,30,7,2,11,6,4.397106086761257,7.561702665150919,11.591554039829898,7,0.4666666666666667,0.5,7.996692776791031,0.5111931605447997,1.5264112160252397
Dipterocarpaceae,Rosids (Malvids),Rosids,22,3,370.40100000000007,3.9821000000000026,96.22000000000001,0.2857142857142857,0.9090909090909091,0.13636363636363635,0.5454545454545454,0.09090909090909091,0.09090909090909091,24,22,3,2,5,3,1.8225108225108229,2.4285714285714275,2.9913419913419914,0,0.13636363636363635,0,6.239636402474356,-0.593276623363922,-1.7715105795687012
Dryopteridaceae,Ferns,Non-seed vascular plants,26,6,452.4120000000001,3.4297400000000016,200.52999999999997,0.23529411764705882,1,0.23076923076923078,0,0.11538461538461539,0.038461538461538464,38,26,4,2,4,3,3.4329735481909354,4.722196796338675,5.715375928419407,2,0.23076923076923078,0.3333333333333333,7.125498845164508,-0.14909697360374996,-0.44520019114035014
Ebenaceae,Asterids (Basal),Asterids,26,7,450.37550000000016,2.995000000000002,177.14,0.2,1,0,0,0,0,39,26,3,2,7,2,3.77474916387959,5.565034965034966,6.85944055944056,2,0.2692307692307692,0.2857142857142857,7.125498845164508,-0.015565580979227445,-0.04647847276618813
Elaeagnaceae,Rosids (Fabids),Rosids,6,1,298.2705,1.3988999999999998,120.495,0.2,1,0,0,0,0,7,6,2,2,2,1,1,,,0,0.16666666666666666,0,2.4308943454761054,-0.5396737887518978,-1.6114537277216607
Elatinaceae,Rosids (Fabids),Rosids,4,1,298.2705,1.3988999999999998,120.495,0.2,1,0,0,0,0,4,4,1,1,1,1,,,,0,0.25,0,1.8653537346159381,-0.35954462956499744,-1.0735921322671071
Ephedraceae,Gymnosperms,Gymnosperms,8,4,417.3915000000002,3.109150000000001,139.84,0.2,1,0,0,0,0,9,8,2,1,4,3,3.3928571428571432,,,1,0.5,0.25,2.9542329147907322,0.23465128330253182,0.7006634249683207
Equisetaceae,Ferns,Non-seed vascular plants,7,1,288.255,1.4806999999999992,107.22000000000001,0.13333333333333333,1,0,0,0,0,8,7,1,1,2,2,1,,,0,0.14285714285714285,0,2.69635309474721,-0.6141995029494588,-1.833985824810388
Ericaceae,Asterids (Basal),Asterids,166,37,442.37600000000015,1.5460999999999998,177.14,0.23529411764705882,0.9879518072289156,0.2469879518072289,0.024096385542168676,0.42168674698795183,0.06626506024096386,352,166,87,14,68,7,4.396236966581869,7.737322972276091,12.794481568222395,7,0.22289156626506024,0.1891891891891892,32.818566633759936,0.11657619936108254,0.34809389475537766
Eriocaulaceae,Monocots (Commelinids),Monocots,7,2,330.29200000000003,2.897000000000001,98.36000000000001,0.16666666666666666,0.7142857142857143,1,0,0,0,7,7,3,2,4,2,1.9523809523809523,,,0,0.2857142857142857,0,2.69635309474721,-0.2087343948412943,-0.6232761821704205
Erythroxylaceae,Rosids (Fabids),Rosids,20,11,435.3830000000001,1.5460999999999998,167.72,0.2720588235294118,0.95,0.25,0.05,0.45,0.1,31,20,11,1,8,6,4.438596491228083,7.605263157894742,11,0,0.55,0,5.790514973217858,0.569379868204094,1.7001554091206097
