bemis_murcko_scaffold_smiles,n_families
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2cc(OC3CCCCO3)cc(-c3oc4cccc(=O)c-4cc3OC3CCCCO3)c2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2cc3c(=O)cccc-3oc2-c2ccccc2)O1,8
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2cc3oc(-c4cccc(OC5CCCCO5)c4)c(OC4CCCC(COC5CCCCO5)O4)cc-3c(=O)c2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2cc3oc(-c4cccc(OC5CCCCO5)c4)c(OC4CCCCO4)cc-3c(=O)c2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2cc3oc(-c4cccc(OC5CCCCO5)c4)c(OC4OCCCC4OC4OCCCC4OC(=O)C=Cc4ccccc4)cc-3c(=O)c2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2cc3oc(-c4ccccc4)c(OC4OCCCC4OC4OCCCC4OC(=O)C=Cc4ccccc4)cc-3c(=O)c2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2ccc(C(=O)C=Cc3ccccc3)cc2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2ccc(C3CC(=O)c4ccccc4O3)cc2)O1,3
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2ccc(C=CC(=O)OCC3CCCC(Oc4cc(OC5CCCC(COC(=O)C=Cc6ccccc6)O5)cc(-c5oc6cc(=O)ccc-6cc5OC5CCCCO5)c4)O3)cc2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2ccc(C=CC(=O)OCC3CCCC(Oc4cc5oc(-c6cccc(OC7CCCC(COC(=O)C=Cc8ccccc8)O7)c6)c(OC6CCCCO6)cc-5c(=O)c4)O3)cc2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2ccc3c(c2)OC(=Cc2ccccc2)C3=O)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2ccc3c(c2)OC(c2ccccc2)CC3=O)O1,5
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2cccc(-c3oc4cc(OC5CCCC(COC(=O)C=Cc6ccccc6)O5)cc(=O)c-4cc3OC3CCCC(COC4CCCCO4)O3)c2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2cccc(-c3oc4cc(OC5CCCC(COC(=O)C=Cc6ccccc6)O5)cc(=O)c-4cc3OC3CCCCO3)c2)O1,1
O=C(C=Cc1ccccc1)OCC1CCCC(Oc2cccc(C3CC(=O)c4ccccc4O3)c2)O1,1
O=C(C=Cc1ccccc1)OCC1COC(OC2CCCOC2Oc2ccc(C=CC(=O)c3ccccc3)cc2)C1,1
O=C(C=Cc1ccccc1)OCC1COC(OC2CCCOC2Oc2ccc3c(c2)OC(c2ccccc2)CC3=O)C1,1
O=C(C=Cc1ccccc1)OCC1COC(OCC2CCCC(Oc3ccc4c(=O)c(-c5ccccc5)coc4c3)O2)C1,1
O=C(C=Cc1ccccc1)OCC1COC(Oc2ccc(C3CC(=O)c4ccc(OC5CCCCO5)cc4O3)cc2)C1,1
O=C(C=Cc1ccccc1)OCC=CCc1cccc(C(=O)C=Cc2ccccc2)c1,2
O=C(C=Cc1ccccc1)Oc1ccc2c(c1)OC(c1ccc(OC3OCCCC3OC3CCCO3)cc1)CC2=O,1
O=C(C=Cc1ccccc1)c1cc(Cc2ccccc2)cc2c1OCC=C2,1
O=C(C=Cc1ccccc1)c1cc2c(c3c1OCC=C3)OCC=C2,1
O=C(C=Cc1ccccc1)c1cc2c(c3c1OCCC3)OCC=C2,1
O=C(C=Cc1ccccc1)c1ccc(OC2CCC(OC3CCCO3)CO2)cc1,1
O=C(C=Cc1ccccc1)c1ccc(OC2CCCC(COC3CCCCO3)O2)cc1,2
O=C(C=Cc1ccccc1)c1ccc(OC2CCCC(COC3CCCCO3)O2)cc1OC1CCCCO1,1
O=C(C=Cc1ccccc1)c1ccc(OC2CCCCO2)c(OC2CCCCO2)c1,1
O=C(C=Cc1ccccc1)c1ccc(OC2CCCCO2)cc1,8
O=C(C=Cc1ccccc1)c1ccc(OC2CCCCO2)cc1OC1CCCCO1,2
O=C(C=Cc1ccccc1)c1ccc(OC2OCCCC2OC2CCCO2)cc1,1
O=C(C=Cc1ccccc1)c1ccc(OCc2ccccc2)cc1OCc1ccccc1,1
O=C(C=Cc1ccccc1)c1ccc(Oc2cccc(C(=O)C=Cc3ccccc3)c2)cc1,1
O=C(C=Cc1ccccc1)c1ccc2c(c1)C(CCCCc1ccccc1)CC(c1ccccc1)O2,1
O=C(C=Cc1ccccc1)c1ccc2c(c1)C1C=CCC3c4ccccc4OC(c4cccc5c4OCC=C5)(O2)C13,1
O=C(C=Cc1ccccc1)c1ccc2c(c1)C1CCOC1O2,1
O=C(C=Cc1ccccc1)c1ccc2c(c1)C=CCO2,7
O=C(C=Cc1ccccc1)c1ccc2c(c1)CC=CCO2,1
O=C(C=Cc1ccccc1)c1ccc2c(c1)CCCO2,6
O=C(C=Cc1ccccc1)c1ccc2c(c1)CCO2,4
O=C(C=Cc1ccccc1)c1ccc2c(c1)OC1C=CCCC1=C2,1
O=C(C=Cc1ccccc1)c1ccc2c(c1)OCC=C2,1
O=C(C=Cc1ccccc1)c1ccc2c(c1)OCCC2,1
O=C(C=Cc1ccccc1)c1ccc2c(c1)OCO2,2
O=C(C=Cc1ccccc1)c1ccc2c3c1OC1CCC(CO2)C3C1,1
O=C(C=Cc1ccccc1)c1ccc2c3c1OCC1CCC(CC31)O2,2
O=C(C=Cc1ccccc1)c1ccc2ccoc2c1,1
O=C(C=Cc1ccccc1)c1ccc2occc2c1,2
O=C(C=Cc1ccccc1)c1cccc(-c2cccc(CCC(=O)c3ccccc3)c2)c1,1
O=C(C=Cc1ccccc1)c1cccc(C(C=CCCCCc2ccccc2)c2ccccc2)c1,1
O=C(C=Cc1ccccc1)c1cccc(C(C=Cc2ccccc2)CCCCc2ccccc2)c1,1
O=C(C=Cc1ccccc1)c1cccc(C2C=CCC(c3ccccc3)C2C(=O)c2ccc3c(c2)C=CCO3)c1,1
O=C(C=Cc1ccccc1)c1cccc(C2C=CCC(c3ccccc3)C2C(=O)c2ccccc2)c1,1
O=C(C=Cc1ccccc1)c1cccc(C2C=CCCC2)c1,1
O=C(C=Cc1ccccc1)c1cccc(C2CC(CCc3ccccc3)OC(c3ccccc3)C2)c1,1
O=C(C=Cc1ccccc1)c1cccc(C2CC(CCc3ccccc3)OC(c3ccccc3)C2C(C=CCCCCc2ccccc2)c2ccccc2)c1,1
O=C(C=Cc1ccccc1)c1cccc(C2CC(CCc3ccccc3)OC(c3ccccc3)C2C(C=Cc2ccccc2)CCCCc2ccccc2)c1,1
O=C(C=Cc1ccccc1)c1cccc(C2CC(c3ccccc3)Oc3ccccc32)c1,2
O=C(C=Cc1ccccc1)c1cccc(C=CC(CCCCc2ccccc2)c2ccccc2)c1,1
O=C(C=Cc1ccccc1)c1cccc(Cc2ccccc2)c1,1
O=C(C=Cc1ccccc1)c1cccc(OC2CCCCO2)c1,2
O=C(C=Cc1ccccc1)c1cccc2c1CCCO2,1
O=C(C=Cc1ccccc1)c1cccc2c1OC(c1ccccc1)C1C2CC(CCc2ccccc2)OC1c1ccccc1,1
O=C(C=Cc1ccccc1)c1cccc2c1OC(c1ccccc1)C2C(=O)c1ccccc1,2
O=C(C=Cc1ccccc1)c1cccc2c1OC1C=CCCC21,1
O=C(C=Cc1ccccc1)c1cccc2c1OC1CCCCC21,1
O=C(C=Cc1ccccc1)c1cccc2c1OCC1C3CCOc4c(C(=O)C=Cc5ccccc5)cc(Cc5ccccc5)c(c43)OC21,1
O=C(C=Cc1ccccc1)c1cccc2c1OCC1C3CCOc4c(C(=O)C=Cc5ccccc5)ccc(c43)OC21,1
O=C(C=Cc1ccccc1)c1cccc2c1OCC1Cc3c(ccc4c3OCC3C5CCOc6c(C(=O)C=Cc7ccccc7)cc(Cc7ccccc7)c(c65)OC43)OC21,1
O=C(C=Cc1ccccc1)c1cccc2c1OCC1Cc3ccccc3OC21,1
O=C(C=Cc1ccccc1)c1cccc2c1OCC2,3
O=C(C=Cc1ccccc1)c1cccc2c1OCC=C2,4
O=C(C=Cc1ccccc1)c1cccc2c1OCCC2,4
O=C(C=Cc1ccccc1)c1cccc2c1OCO2,1
O=C(C=Cc1ccccc1)c1ccccc1,55
O=C(C=Cc1ccccc1)c1ccccc1OC1CCC(OC2CCCCO2)CO1,1
O=C(C=Cc1ccccc1)c1ccccc1OC1CCCC(COC2CCCCO2)O1,1
O=C(C=Cc1ccccc1)c1ccccc1OC1CCCCO1,10
O=C(C=Cc1ccccc1)c1coc2c(C(=O)C=Cc3ccccc3)cccc12,1
O=C(CC(=O)c1ccc2c(c1)C=CCO2)c1ccc2c(c1)C=CCO2,1
O=C(CC(=O)c1ccc2c(c1)C=CCO2)c1ccccc1,1
O=C(CC(=O)c1ccc2c(c1)CCO2)c1ccccc1,1
O=C(CC(=O)c1ccc2c(c1)OCO2)c1ccc2c(c1)C=CCO2,1
O=C(CC(=O)c1ccc2c(c1)OCO2)c1ccccc1,2
O=C(CC(=O)c1ccc2occc2c1)c1ccc2c(c1)OCO2,1
O=C(CC(=O)c1ccc2occc2c1)c1ccccc1,2
O=C(CC(=O)c1ccccc1)c1ccccc1,1
O=C(CC1CCc2ccccc21)c1ccccc1,1
O=C(CCC(=O)c1ccccc1)c1ccccc1,2
