inchikey,target_domain_macro,class_np,motif_methoxy,motif_prenyl,motif_sugar,motif_combination,mw,logp,tpsa,fsp3,structural_qc_status,median_pchembl,z_potency_equal_mean,z_potency_equal_median,z_potency_record_weighted,n_records,n_targets,n_assays,n_standard_types,standard_types,z_potency,delta_equal_mean_minus_record_weighted,delta_equal_median_minus_equal_mean
XUFXKBJMCRJATM-FMIVXFBMSA-N,Metabolic Enzymes,Chalcones,1,0,0,Methoxy,238.286,3.591300000000002,26.3,0.0625,pass,5.42,0.289418505774111,0.289418505774111,0.28941850577411055,1,1,1,1,IC50,0.289418505774111,4.440892098500626e-16,0
XUFXKBJMCRJATM-FMIVXFBMSA-N,Neuroscience Targets,Chalcones,1,0,0,Methoxy,238.286,3.591300000000002,26.3,0.0625,pass,4.38,-1.03242864693182,-1.03242864693182,-1.0324286469318178,1,1,1,1,IC50,-1.03242864693182,-2.220446049250313e-15,0
XUFXKBJMCRJATM-FMIVXFBMSA-N,Phenotypic: Cancer and Cells,Chalcones,1,0,0,Methoxy,238.286,3.591300000000002,26.3,0.0625,pass,4.4425,-0.705794835417036,-0.705794835417036,-0.7400465807108566,12,11,12,2,EC50;IC50,-0.705794835417036,0.03425174529382058,0
XWUWFNSZQDCXCD-UHFFFAOYSA-N,Infectious Diseases,Isoflavones,0,0,0,Simple,354.35800000000006,3.7460000000000035,111.13000000000002,0.15,pass,4.12,-1.57075063948998,-1.57075063948998,-1.5707506394899797,1,1,1,1,IC50,-1.57075063948998,-2.220446049250313e-16,0
XWUWFNSZQDCXCD-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,Isoflavones,0,0,0,Simple,354.35800000000006,3.7460000000000035,111.13000000000002,0.15,pass,4.11,-1.30563135597894,-1.30563135597894,-1.3056313559789368,1,1,1,1,IC50,-1.30563135597894,-3.3306690738754696e-15,0
XXQUTHYOIGFGPG-MPKNGZDBSA-N,Metabolic Enzymes,Chalcones,0,1,0,Prenyl,502.51900000000023,4.856100000000006,144.52,0.10344827586206896,pass,6.3,1.44089114670269,1.44089114670269,1.4408911467026895,1,1,1,1,IC50,1.44089114670269,4.440892098500626e-16,0
XYIQIBWIEGCVQY-RWHUQTJRSA-N,Cell Signaling and Survival,Flavanones,0,1,0,Prenyl,408.49400000000014,5.745100000000007,86.99000000000001,0.32,pass,5.135,0.0615330277222282,0.0615330277222282,0.06153302772222823,2,2,2,1,IC50,0.0615330277222282,-3.469446951953614e-17,0
XYIQIBWIEGCVQY-RWHUQTJRSA-N,Infectious Diseases,Flavanones,0,1,0,Prenyl,408.49400000000014,5.745100000000007,86.99000000000001,0.32,pass,4.975,-0.35591730845388003,-0.35591730845388003,-0.35591730845388037,2,2,2,2,IC50;Ki,-0.35591730845388003,3.3306690738754696e-16,0
XYIQIBWIEGCVQY-RWHUQTJRSA-N,Inflammation and Proteolysis,Flavanones,0,1,0,Prenyl,408.49400000000014,5.745100000000007,86.99000000000001,0.32,pass,5.325,0.333549868373935,0.333549868373935,0.3335498683739351,2,2,2,1,IC50,0.333549868373935,-5.551115123125783e-17,0
XYIQIBWIEGCVQY-RWHUQTJRSA-N,Neuroscience Targets,Flavanones,0,1,0,Prenyl,408.49400000000014,5.745100000000007,86.99000000000001,0.32,pass,4.5075,-0.8480065342641595,-0.8480065342641595,-0.917802162273587,3,3,3,2,IC50;Ki,-0.8480065342641595,0.06979562800942751,0
XYIQIBWIEGCVQY-RWHUQTJRSA-N,Phenotypic: Cancer and Cells,Flavanones,0,1,0,Prenyl,408.49400000000014,5.745100000000007,86.99000000000001,0.32,pass,4.7525,-0.31754500364134003,-0.31754500364134003,-0.37275926105132645,3,3,3,2,EC50;IC50,-0.31754500364134003,0.05521425740998642,0
XZMVXCSKRYOMID-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,Isoflavones,1,1,0,Methoxy+Prenyl,336.38700000000006,4.8136000000000045,48.67,0.19047619047619047,pass,4.41,-0.763360863600275,-0.763360863600275,-0.7633608636002749,2,2,2,1,IC50,-0.763360863600275,-1.1102230246251565e-16,0
YABIJLLNNFURIJ-UHFFFAOYSA-N,Infectious Diseases,Coumestan,0,1,0,Prenyl,336.3430000000001,4.612300000000005,83.81,0.15,pass,5.574999999999999,0.5969347644715745,0.5969347644715745,0.5969347644715746,2,2,2,2,IC50;Ki,0.5969347644715745,-1.1102230246251565e-16,0
YABIJLLNNFURIJ-UHFFFAOYSA-N,Inflammation and Proteolysis,Coumestan,0,1,0,Prenyl,336.3430000000001,4.612300000000005,83.81,0.15,pass,4.68,-0.229134797341341,-0.229134797341341,-0.22913479734134062,1,1,1,1,Kd,-0.229134797341341,-3.885780586188048e-16,0
YAEYGSBLDUIDTP-UHFFFAOYSA-N,Metabolic Enzymes,Flavanones,1,0,0,Methoxy,284.311,3.410300000000002,44.760000000000005,0.23529411764705882,pass,5.435,0.309045880335393,0.309045880335393,0.3090458803353927,2,2,2,1,IC50,0.309045880335393,2.7755575615628914e-16,0
YANXJXVKFOHHOB-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,Isoflavones,1,0,0,Methoxy,300.266,2.585400000000002,100.13000000000001,0.0625,pass,5.16,0.59231536734638,0.59231536734638,0.5923153673463804,1,1,1,1,IC50,0.59231536734638,-3.3306690738754696e-16,0
YBJJPNXZVZRDIU-UHFFFAOYSA-N,Cell Signaling and Survival,Isoflavones,0,1,0,Prenyl,390.4790000000001,5.8886000000000065,70.67,0.24,pass,5.11,0.0283891803027545,0.0283891803027545,0.028389180302754495,1,1,1,1,IC50,0.0283891803027545,3.469446951953614e-18,0
YCDZKMJZSGRQML-UHFFFAOYSA-N,Cell Signaling and Survival,2-arylbenzofurans,1,0,0,Methoxy,270.284,3.8226000000000013,51.83,0.125,pass,4.13,-1.27084963854064,-1.27084963854064,-1.270849638540644,1,1,1,1,IC50,-1.27084963854064,3.9968028886505635e-15,0
