inchikey,target_domain_macro,class_np,motif_methoxy,motif_prenyl,motif_sugar,motif_combination,mw,logp,tpsa,fsp3,structural_qc_status,median_pchembl,z_potency_equal_mean,z_potency_equal_median,z_potency_record_weighted,n_records,n_targets,n_assays,n_standard_types,standard_types,z_potency,delta_equal_mean_minus_record_weighted,delta_equal_median_minus_equal_mean,visual_clade
QUGFZLLBKBSAGW-CVOAYDCWSA-N,Phenotypic: Cancer and Cells,Chalcones,1,0,1,Methoxy+Sugar,464.4230000000001,-0.11320000000000069,186.37,0.3181818181818182,pass,5.33,0.247969526698699,0.247969526698699,0.2479695266986986,1,1,1,1,EC50,0.247969526698699,4.163336342344337e-16,0,Asterids (Campanulids)
WGVFVBIJKULVHA-QHHAFSJGSA-N,Phenotypic: Cancer and Cells,Chalcones,1,0,0,Methoxy,286.283,2.7081000000000013,86.99000000000001,0.0625,pass,4.45,-0.654305209549688,-0.654305209549688,-0.6543052095496878,1,1,1,1,EC50,-0.654305209549688,-1.1102230246251565e-16,0,Asterids (Campanulids)
BVKQRAYKLBRNIK-UHFFFAOYSA-N,Transporters and Ion Channels,Flavonolignans,1,0,0,Methoxy,480.42500000000024,3.164400000000002,159.04999999999998,0.16,pass,5.8100000000000005,0.969841126872504,0.969841126872504,0.9698411268725042,2,2,2,2,IC50;Kd,0.969841126872504,-2.220446049250313e-16,0,Asterids (Campanulids)
OAAPAFSEMHJNTF-BJMVGYQFSA-N,Transporters and Ion Channels,Chalcones,1,0,0,Methoxy,284.311,3.305500000000002,55.760000000000005,0.11764705882352941,pass,5.52,0.347371009972198,0.347371009972198,0.3473710099721976,2,1,2,1,IC50,0.347371009972198,3.885780586188048e-16,0,Asterids (Campanulids)
LUGJWTLKPPWJAI-VQHVLOKHSA-N,Cell Signaling and Survival,Chalcones,1,0,0,Methoxy,388.4160000000002,3.634300000000003,72.45000000000002,0.2857142857142857,pass,4.82,-0.356079449763149,-0.356079449763149,-0.35607944976314904,1,1,1,1,IC50,-0.356079449763149,5.551115123125783e-17,0,Asterids (Lamiids)
RTCVAWRRHHSOCC-NYYWCZLTSA-N,Cell Signaling and Survival,Chalcones,1,0,0,Methoxy,254.285,3.2969000000000017,46.53,0.0625,pass,4.65,-0.581457612215575,-0.581457612215575,-0.5814576122155751,1,1,1,1,IC50,-0.581457612215575,1.1102230246251565e-16,0,Asterids (Lamiids)
HLQJCYNRIXWLJK-MHSNNWACSA-N,General Assays and Safety,Flavanones,0,0,1,Sugar,612.5370000000003,-2.487199999999999,265.52,0.5185185185185185,pass,4.92,-0.34130994712312,-0.34130994712312,-0.3413099471231203,1,1,1,1,IC50,-0.34130994712312,2.7755575615628914e-16,0,Asterids (Lamiids)
RTCVAWRRHHSOCC-NYYWCZLTSA-N,General Assays and Safety,Chalcones,1,0,0,Methoxy,254.285,3.2969000000000017,46.53,0.0625,pass,4.94,-0.312804170262589,-0.312804170262589,-0.3128041702625886,1,1,1,1,IC50,-0.312804170262589,-3.885780586188048e-16,0,Asterids (Lamiids)
SUSRJKSSWXDFKP-GCHVKDGMSA-N,General Assays and Safety,Flavonolignans,1,0,0,Methoxy,477.5130000000002,4.192200000000004,120.97000000000001,0.2222222222222222,review,4.27,-1.26774769509038,-1.26774769509038,-1.2677476950903803,1,1,1,1,IC50,-1.26774769509038,2.220446049250313e-16,0,Asterids (Lamiids)
SUSRJKSSWXDFKP-WSHYROQVSA-N,General Assays and Safety,Flavonolignans,1,0,0,Methoxy,477.5130000000002,4.192200000000004,120.97000000000001,0.2222222222222222,review,4.26,-1.28200058352065,-1.28200058352065,-1.2820005835206454,1,1,1,1,IC50,-1.28200058352065,-4.6629367034256575e-15,0,Asterids (Lamiids)
XQXIDELHPWXTDD-UHFFFAOYSA-N,General Assays and Safety,2-arylbenzofurans,0,0,0,Simple,270.24,3.0291000000000006,90.9,0,pass,5.33,0.243058478517767,0.243058478517767,0.2430584785177666,1,1,1,1,IC50,0.243058478517767,3.885780586188048e-16,0,Asterids (Lamiids)
ACAAVKGSTVOIQB-BASWHVEKSA-N,Infectious Diseases,Aurones,0,0,0,Simple,302.23800000000006,1.8307999999999995,127.45000000000002,0,pass,5.24,-0.251652797774716,-0.251652797774716,-0.2516527977747158,1,1,1,1,Ki,-0.251652797774716,-2.220446049250313e-16,0,Asterids (Lamiids)
CMJDNOOYGNOVCM-UBDBMELISA-N,Infectious Diseases,Flavanones,0,0,0,Simple,442.5080000000002,4.534800000000007,116.45000000000002,0.48,pass,5.265000000000001,0.12544429584642597,0.12544429584642597,0.12544429584642555,2,2,2,2,IC50;Ki,0.12544429584642597,4.163336342344337e-16,0,Asterids (Lamiids)
DEVKCCHIUHLHCF-UHFFFAOYSA-N,Infectious Diseases,Neoflavonoids,1,0,0,Methoxy,300.2660000000001,2.5854000000000017,100.13000000000001,0.0625,pass,4.21,-1.40891615757642,-1.40891615757642,-1.4089161575764164,1,1,1,1,IC50,-1.40891615757642,-3.552713678800501e-15,0,Asterids (Lamiids)
DHYMKZKAVOUQFT-HSYKDVHTSA-N,Infectious Diseases,Flavanones,1,0,0,Methoxy,486.5610000000003,4.846400000000006,114.68000000000002,0.5185185185185185,pass,4.895,-0.45775535687761404,-0.45775535687761404,-0.457755356877614,2,2,2,2,IC50;Ki,-0.45775535687761404,-5.551115123125783e-17,0,Asterids (Lamiids)
FVUVHWPNLPHERN-SICWBLJQSA-N,Infectious Diseases,Flavanones,1,1,0,Methoxy+Prenyl,438.5200000000002,5.7537000000000065,96.22000000000001,0.34615384615384615,pass,5.03,-0.26656728212021,-0.26656728212021,-0.26656728212021,2,2,2,2,IC50;Ki,-0.26656728212021,0,0,Asterids (Lamiids)
HXSRAKGAZOSYEH-WFQOKMFZSA-N,Infectious Diseases,Dihydroflavonols,1,1,0,Methoxy+Prenyl,454.51900000000023,4.724500000000006,116.45000000000002,0.34615384615384615,pass,5.12,-0.11237185918634174,-0.11237185918634174,-0.11237185918634171,2,2,2,2,IC50;Ki,-0.11237185918634174,-2.7755575615628914e-17,0,Asterids (Lamiids)
JKVINBILQDMNEH-DQUNLGLBSA-N,Infectious Diseases,Flavanones,1,0,0,Methoxy,456.53500000000025,4.837800000000006,105.45000000000002,0.5,pass,5.335,0.22457885312804224,0.22457885312804224,0.22457885312804204,2,2,2,2,IC50;Ki,0.22457885312804224,1.942890293094024e-16,0,Asterids (Lamiids)
KWSGAQMDMOUWHH-GPTJOGTASA-N,Infectious Diseases,Dihydroflavonols,1,0,0,Methoxy,472.5340000000004,3.8086000000000033,125.68,0.5,pass,5.365,0.2842529746673343,0.2842529746673343,0.28425297466733424,2,2,2,2,IC50;Ki,0.2842529746673343,5.551115123125783e-17,0,Asterids (Lamiids)
NTMAFGPMRMTODT-BIJDMMQYSA-N,Infectious Diseases,Chalcones,1,0,0,Methoxy,538.5960000000002,6.804200000000007,86.61000000000001,0.21212121212121213,pass,5.455,0.829794175561214,0.829794175561214,0.8297941755612138,3,2,3,1,IC50,0.829794175561214,2.220446049250313e-16,0,Asterids (Lamiids)
PMKNILHJZILHLN-AGBQBWRISA-N,Infectious Diseases,Flavanones,1,1,0,Methoxy+Prenyl,438.5200000000002,5.753700000000006,96.22000000000001,0.34615384615384615,pass,5.015000000000001,-0.291629931027547,-0.291629931027547,-0.2916299310275471,2,2,2,2,IC50;Ki,-0.291629931027547,1.1102230246251565e-16,0,Asterids (Lamiids)
RTCVAWRRHHSOCC-NYYWCZLTSA-N,Infectious Diseases,Chalcones,1,0,0,Methoxy,254.285,3.2969000000000017,46.53,0.0625,pass,4.49,-0.905431102734218,-0.905431102734218,-0.905431102734218,1,1,1,1,IC50,-0.905431102734218,0,0,Asterids (Lamiids)
UPBJEHBYZUPVDF-JUALLIRVSA-N,Infectious Diseases,Flavanones,1,1,0,Methoxy+Prenyl,468.5460000000003,5.762300000000006,105.45000000000002,0.37037037037037035,pass,4.970000000000001,-0.359178818769862,-0.359178818769862,-0.35917881876986235,2,2,2,2,IC50;Ki,-0.359178818769862,3.3306690738754696e-16,0,Asterids (Lamiids)
