inchikey,target_domain_macro,n_standard_types,standard_types,n_records,n_targets,n_assays,z_potency_equal_mean,z_potency_equal_median,z_potency_record_weighted,delta_equal_mean_minus_record_weighted,delta_equal_median_minus_equal_mean
BMLIIPOXVWESJG-LMBCONBSSA-N,Metabolic Enzymes,2,IC50;Ki,6,2,6,-0.16272101061089145,-0.16272101061089145,-0.1389686310833799,-0.023752379527511552,0
BMLIIPOXVWESJG-LMBCONBSSA-N,Transporters and Ion Channels,1,IC50,1,1,1,1.98924255418572,1.98924255418572,1.9892425541857162,3.774758283725532e-15,0
BMZFZTMWBCFKSS-UHFFFAOYSA-N,Cell Signaling and Survival,2,IC50;Ki,2,2,2,0.987029181921133,0.987029181921133,0.9870291819211329,1.1102230246251565e-16,0
BMZFZTMWBCFKSS-UHFFFAOYSA-N,General Assays and Safety,1,IC50,2,2,2,1.490186216166,1.490186216166,1.4901862161660004,-4.440892098500626e-16,0
BMZFZTMWBCFKSS-UHFFFAOYSA-N,Infectious Diseases,1,IC50,1,1,1,-0.437909266095035,-0.437909266095035,-0.4379092660950346,-3.885780586188048e-16,0
BMZFZTMWBCFKSS-UHFFFAOYSA-N,Metabolic Enzymes,1,IC50,2,2,2,-0.175096025509577,-0.175096025509577,-0.17509602550957704,2.7755575615628914e-17,0
BMZFZTMWBCFKSS-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,0.140423290364162,0.140423290364162,0.14042329036416193,8.326672684688674e-17,0
BNFXYMBRFDJYCH-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,-1.21525294058249,-1.21525294058249,-1.2152529405824932,3.3306690738754696e-15,0
BNHKKFCHFULPFL-YWZLYKJASA-N,Inflammation and Proteolysis,1,IC50,2,1,2,0.0123947148125164,0.0123947148125164,0.012394714812516356,4.5102810375396984e-17,0
BNHKKFCHFULPFL-YWZLYKJASA-N,Phenotypic: Cancer and Cells,1,IC50,1,1,1,-0.347620152776635,-0.347620152776635,-0.34762015277663477,-2.220446049250313e-16,0
BOBWTYODGOYWRC-UVIRAJKCSA-N,Cell Signaling and Survival,1,IC50,1,1,1,-0.488654839441048,-0.488654839441048,-0.48865483944104754,-4.440892098500626e-16,0
BOYAGHNMYQPGKZ-VMPITWQZSA-N,General Assays and Safety,1,IC50,1,1,1,-1.4245294678233,-1.4245294678233,-1.4245294678233003,2.220446049250313e-16,0
BPKGZLQVBQRSMK-QVDUQQMDSA-N,General Assays and Safety,1,EC50,1,1,1,0.428970573231486,0.428970573231486,0.4289705732314861,-5.551115123125783e-17,0
BTCICADMSGBCKA-VGVWILAUSA-N,Cell Signaling and Survival,1,AC50,1,1,1,-0.598023401736221,-0.598023401736221,-0.5980234017362206,-4.440892098500626e-16,0
BTCICADMSGBCKA-VGVWILAUSA-N,General Assays and Safety,1,AC50,1,1,1,-0.481705774430975,-0.481705774430975,-0.48170577443097473,-2.7755575615628914e-16,0
BTCICADMSGBCKA-VGVWILAUSA-N,Infectious Diseases,1,EC50,4,3,4,1.43908386500625,1.43908386500625,1.4390838650062483,1.7763568394002505e-15,0
BVFVJUGNDWHJBT-UHFFFAOYSA-N,Metabolic Enzymes,1,IC50,1,1,1,-0.809714469657715,-0.809714469657715,-0.8097144696577148,-2.220446049250313e-16,0
BVHLNRAYBCPKOY-NRFANRHFSA-N,Cell Signaling and Survival,1,IC50,1,1,1,-0.32956437182757,-0.32956437182757,-0.3295643718275701,1.1102230246251565e-16,0
