family,genus,species_binomial,n_occurrence_rows,n_compounds,n_references,representative_allowed,representative_exclusion_reason,representative_source,tree_species,representative_taxonomy_status
Pteridaceae,Doryopteris,Doryopteris decipiens,30,30,1,TRUE,,observed_binomial_species,Doryopteris_decipiens,compatible
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,6,6,1,TRUE,,observed_binomial_species,Aquilegia_ecalcarata,compatible
Rhamnaceae,Ziziphus,Ziziphus jujuba,50,48,4,TRUE,,observed_binomial_species,Ziziphus_jujuba,compatible
Rhizophoraceae,Kandelia,Kandelia candel,46,44,2,TRUE,,observed_binomial_species,Kandelia_candel,compatible
Rosaceae,Prunus,Prunus avium,53,42,10,TRUE,,observed_binomial_species,Prunus_avium,compatible
Rubiaceae,Pavetta,Pavetta owariensis,40,34,7,TRUE,,observed_binomial_species,Pavetta_owariensis,compatible
Rutaceae,Citrus,Citrus limon,144,45,40,TRUE,,observed_binomial_species,Citrus_limon,compatible
Salicaceae,Populus,Populus tremula,38,21,7,TRUE,,observed_binomial_species,Populus_tremula,compatible
Santalaceae,Viscum,Viscum coloratum,48,37,7,TRUE,,observed_binomial_species,Viscum_coloratum,compatible
Sapindaceae,Aesculus,Aesculus hippocastanum,50,39,4,TRUE,,observed_binomial_species,Aesculus_hippocastanum,compatible
Sapotaceae,Manilkara,Manilkara zapota,7,7,1,TRUE,,observed_binomial_species,Manilkara_zapota,compatible
Sarcolaenaceae,Schizolaena,Schizolaena hystrix,16,15,2,TRUE,,observed_binomial_species,Schizolaena_hystrix,compatible
Sarraceniaceae,Sarracenia,Sarracenia alabamensis,1,1,1,TRUE,,observed_binomial_species,Sarracenia_alabamensis,compatible
Saururaceae,Houttuynia,Houttuynia cordata,1,1,1,TRUE,,observed_binomial_species,Houttuynia_cordata,compatible
Saxifragaceae,Leptarrhena,Leptarrhena pyrolifolia,11,11,1,TRUE,,observed_binomial_species,Leptarrhena_pyrolifolia,compatible
Schisandraceae,Illicium,Illicium anisatum,15,15,1,TRUE,,observed_binomial_species,Illicium_anisatum,compatible
Sciadopityaceae,Sciadopitys,Sciadopitys verticillata,3,3,1,TRUE,,observed_binomial_species,Sciadopitys_verticillata,compatible
Scrophulariaceae,Buddleja,Buddleja madagascariensis,3,3,1,TRUE,,observed_binomial_species,Buddleja_madagascariensis,compatible
Selaginellaceae,Selaginella,Selaginella delicatula,7,7,2,TRUE,,observed_binomial_species,Selaginella_delicatula,compatible
Simaroubaceae,Brucea,Brucea javanica,25,21,6,TRUE,,observed_binomial_species,Brucea_javanica,compatible
Siparunaceae,Siparuna,Siparuna thecaphora,2,2,1,TRUE,,observed_binomial_species,Siparuna_thecaphora,compatible
Smilacaceae,Smilax,Smilax corbularia,33,33,1,TRUE,,observed_binomial_species,Smilax_corbularia,compatible
Solanaceae,Solanum,Solanum lycopersicum,20,18,3,TRUE,,observed_binomial_species,Solanum_lycopersicum,compatible
Stachyuraceae,Stachyurus,Stachyurus praecox,6,6,1,TRUE,,observed_binomial_species,Stachyurus_praecox,compatible
Stemonaceae,Stemona,Stemona collinsae,19,10,4,TRUE,,observed_binomial_species,Stemona_collinsae,compatible
Symplocaceae,Symplocos,Symplocos uniflora,2,2,1,TRUE,,observed_binomial_species,Symplocos_uniflora,compatible
Tamaricaceae,Tamarix,Tamarix senegalensis,4,2,2,TRUE,,observed_binomial_species,Tamarix_senegalensis,compatible
Taxaceae,Taxus,Taxus mairei,5,5,1,TRUE,,observed_binomial_species,Taxus_mairei,compatible
Tectariaceae,Tectaria,Tectaria subtriphylla,6,6,1,TRUE,,observed_binomial_species,Tectaria_subtriphylla,compatible
Theaceae,Camellia,Camellia sinensis,496,102,96,TRUE,,observed_binomial_species,Camellia_sinensis,compatible
Thelypteridaceae,Menisciopsis,Menisciopsis penangiana,44,37,7,TRUE,,observed_binomial_species,Menisciopsis_penangiana,compatible
Thymelaeaceae,Stellera,Stellera chamaejasme,60,32,12,TRUE,,observed_binomial_species,Stellera_chamaejasme,compatible
Trochodendraceae,Tetracentron,Tetracentron sinense,1,1,1,TRUE,,observed_binomial_species,Tetracentron_sinense,compatible
Typhaceae,Typha,Typha capensis,12,6,3,TRUE,,observed_binomial_species,Typha_capensis,compatible
Ulmaceae,Ulmus,Ulmus wallichiana,8,8,1,TRUE,,observed_binomial_species,Ulmus_wallichiana,compatible
Urticaceae,Cecropia,Cecropia glaziovii,8,5,2,TRUE,,observed_binomial_species,Cecropia_glaziovii,compatible
Velloziaceae,Vellozia,Vellozia nanuzae,5,5,1,TRUE,,observed_binomial_species,Vellozia_nanuzae,compatible
Verbenaceae,Lippia,Lippia origanoides,18,14,6,TRUE,,observed_binomial_species,Lippia_origanoides,compatible
Viburnaceae,Viburnum,Viburnum lantanoides,7,7,1,TRUE,,observed_binomial_species,Viburnum_lantanoides,compatible
Violaceae,Viola,Viola hondoensis,13,13,4,TRUE,,observed_binomial_species,Viola_hondoensis,compatible
Vitaceae,Vitis,Vitis vinifera,273,63,68,TRUE,,observed_binomial_species,Vitis_vinifera,compatible
Vochysiaceae,Qualea,Qualea labouriauana,26,26,1,TRUE,,observed_binomial_species,Qualea_labouriauana,compatible
Winteraceae,Drimys,Drimys winteri,3,3,1,TRUE,,observed_binomial_species,Drimys_winteri,compatible
Woodsiaceae,Woodsia,Woodsia scopulina,8,8,1,TRUE,,observed_binomial_species,Woodsia_scopulina,compatible
