original_family,genus,species_binomial,tree_species,representative_source,representative_taxonomy_status,representative_exclusion_reason,n_occurrence_rows,n_compounds,n_references,backbone_family,original_family_in_backbone,backbone_family_in_backbone,backbone_override_reason,phylo_maker_status,Order,Node.1,Node.2,Node.3,Node.4,FinalClade,apg_match,clade_assignment_source,AnalysisClade
Ebenaceae,Diospyros,Diospyros kaki,Diospyros_kaki,observed_binomial_species,compatible,,34,26,5,Ebenaceae,TRUE,TRUE,,prune,Ericales,Eudicots,Superasterids,Asterids,,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Elaeagnaceae,Hippophae,Hippophae rhamnoides,Hippophae_rhamnoides,observed_binomial_species,compatible,,5,5,1,Elaeagnaceae,TRUE,TRUE,,prune,Rosales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Elatinaceae,Bergia,Bergia capensis,Bergia_capensis,observed_binomial_species,compatible,,4,4,1,Elatinaceae,TRUE,TRUE,,prune,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Ephedraceae,Ephedra,Ephedra frustillata,Ephedra_frustillata,observed_binomial_species,compatible,,2,2,1,Ephedraceae,TRUE,TRUE,,prune,Gnetales,,,,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Equisetaceae,Equisetum,Equisetum arvense,Equisetum_arvense,observed_binomial_species,compatible,,8,7,2,Equisetaceae,TRUE,TRUE,,prune,Equisetales,,,,,Ferns,TRUE,manual_family_override,Ferns
Ericaceae,Vaccinium,Vaccinium vitis-idaea,Vaccinium_vitis-idaea,observed_binomial_species,compatible,,33,26,4,Ericaceae,TRUE,TRUE,,prune,Ericales,Eudicots,Superasterids,Asterids,,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Eriocaulaceae,Eriocaulon,Eriocaulon buergerianum,Eriocaulon_buergerianum,observed_binomial_species,compatible,,5,5,2,Eriocaulaceae,TRUE,TRUE,,bind,Poales,Monocots,Commelinids,,,Monocots (Commelinids),TRUE,APG_reference,Monocots (Commelinids)
Erythroxylaceae,Erythroxylum,Erythroxylum novogranatense,Erythroxylum_novogranatense,observed_binomial_species,compatible,,12,10,2,Erythroxylaceae,TRUE,TRUE,,bind,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Eucommiaceae,Eucommia,Eucommia ulmoides,Eucommia_ulmoides,observed_binomial_species,compatible,,5,5,3,Eucommiaceae,TRUE,TRUE,,prune,Garryales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Euphorbiaceae,Macaranga,Macaranga tanarius,Macaranga_tanarius,observed_binomial_species,compatible,,57,50,3,Euphorbiaceae,TRUE,TRUE,,prune,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Eupteleaceae,Euptelea,Euptelea polyandra,Euptelea_polyandra,observed_binomial_species,compatible,,1,1,1,Eupteleaceae,TRUE,TRUE,,prune,Ranunculales,Eudicots,,,,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Fabaceae,Glycyrrhiza,Glycyrrhiza glabra,Glycyrrhiza_glabra,observed_binomial_species,compatible,,379,196,69,Fabaceae,TRUE,TRUE,,prune,Fabales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Fagaceae,Quercus,Quercus robur,Quercus_robur,observed_binomial_species,compatible,,30,26,3,Fagaceae,TRUE,TRUE,,bind,Fagales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Francoaceae,Greyia,Greyia flanaganii,Greyia_flanaganii,observed_binomial_species,compatible,,8,8,1,Francoaceae,TRUE,TRUE,,prune,Geraniales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Gentianaceae,Hoppea,Hoppea dichotoma,Hoppea_dichotoma,observed_binomial_species,compatible,,11,11,1,Gentianaceae,TRUE,TRUE,,bind,Gentianales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Geraniaceae,Geranium,Geranium niveum,Geranium_niveum,observed_binomial_species,compatible,,20,16,3,Geraniaceae,TRUE,TRUE,,bind,Geraniales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Gesneriaceae,Didymocarpus,Didymocarpus albicalyx,Didymocarpus_albicalyx,observed_binomial_species,compatible,,16,16,1,Gesneriaceae,TRUE,TRUE,,bind,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Ginkgoaceae,Ginkgo,Ginkgo biloba,Ginkgo_biloba,observed_binomial_species,compatible,,10,8,3,Ginkgoaceae,TRUE,TRUE,,prune,Ginkgoales,,,,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Gleicheniaceae,Dicranopteris,Dicranopteris pedata,Dicranopteris_pedata,observed_binomial_species,compatible,,30,30,1,Gleicheniaceae,TRUE,TRUE,,prune,Gleicheniales,,,,,Ferns,TRUE,manual_family_override,Ferns
Gnetaceae,Gnetum,Gnetum africanum,Gnetum_africanum,observed_binomial_species,compatible,,12,12,1,Gnetaceae,TRUE,TRUE,,prune,Gnetales,,,,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
