original_family,genus,species_binomial,tree_species,representative_source,representative_taxonomy_status,representative_exclusion_reason,n_occurrence_rows,n_compounds,n_references,backbone_family,original_family_in_backbone,backbone_family_in_backbone,backbone_override_reason,phylo_maker_status,Order,Node.1,Node.2,Node.3,Node.4,FinalClade,apg_match,clade_assignment_source,AnalysisClade
Cephalotaxaceae,Cephalotaxus,Cephalotaxus harringtonii,Cephalotaxus_harringtonii,observed_binomial_species,compatible,,10,10,1,Taxaceae,FALSE,TRUE,family_override_absent_from_backbone;genus_override_absent_from_backbone,prune,,,,,,Gymnosperms,FALSE,manual_family_override,Gymnosperms
Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum japonicum,Cercidiphyllum_japonicum,observed_binomial_species,compatible,,6,6,1,Cercidiphyllaceae,TRUE,TRUE,,prune,Saxifragales,Eudicots,Superrosids,,,Saxifragales,TRUE,APG_reference,Saxifragales
Chloranthaceae,Sarcandra,Sarcandra glabra,Sarcandra_glabra,observed_binomial_species,compatible,,34,30,5,Chloranthaceae,TRUE,TRUE,,prune,Chloranthales,,,,,Chloranthales,TRUE,APG_reference,Chloranthales
Chrysobalanaceae,Moquilea,Moquilea pyrifolia,Moquilea_pyrifolia,observed_binomial_species,compatible,,6,6,1,Chrysobalanaceae,TRUE,TRUE,,bind,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Cistaceae,Cistus,Cistus laurifolius,Cistus_laurifolius,observed_binomial_species,compatible,,8,5,3,Cistaceae,TRUE,TRUE,,bind,Malvales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Cleomaceae,Cleome,Cleome droserifolia,Cleome_droserifolia,observed_binomial_species,compatible,,2,2,1,Cleomaceae,TRUE,TRUE,,prune,Brassicales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Clusiaceae,Garcinia,Garcinia dulcis,Garcinia_dulcis,observed_binomial_species,compatible,,34,32,3,Clusiaceae,TRUE,TRUE,,prune,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Combretaceae,Getonia,Getonia floribunda,Getonia_floribunda,observed_binomial_species,compatible,,20,18,3,Combretaceae,TRUE,TRUE,,bind,Myrtales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Convolvulaceae,Ipomoea,Ipomoea nil,Ipomoea_nil,observed_binomial_species,compatible,,15,14,4,Convolvulaceae,TRUE,TRUE,,prune,Solanales,Eudicots,Superasterids,Asterids,Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Cordiaceae,Cordia,Cordia goetzei,Cordia_goetzei,observed_binomial_species,compatible,,9,9,1,Boraginaceae,FALSE,TRUE,family_override_absent_from_backbone,bind,,,,,,Asterids (Lamiids),FALSE,manual_family_override,Asterids (Lamiids)
