family,n_occurrence_rows_total,n_compounds_total,n_references_total,n_occurrence_rows_primary,n_primary_compounds,n_primary_references,n_occurrence_rows_excluded,n_excluded_compounds,excluded_inchikeys,exclusion_reasons,retained_in_primary_tree,tree_exclusion_reason
Lamiaceae,532,267,134,529,264,133,3,3,KRIOVPPHQSLHCZ-UHFFFAOYSA-N;STTXNQGVHWYOHI-LBPRGKRZSA-N;STTXNQGVHWYOHI-UHFFFAOYSA-N,carbon_count_below_14,TRUE,
Lardizabalaceae,5,4,2,5,4,2,0,0,,,TRUE,
Lauraceae,434,241,78,434,241,78,0,0,,,TRUE,
Lecythidaceae,10,8,2,10,8,2,0,0,,,TRUE,
Lembophyllaceae,5,5,1,5,5,1,0,0,,,TRUE,
Leucobryaceae,2,2,1,2,2,1,0,0,,,TRUE,
Loganiaceae,1,1,1,1,1,1,0,0,,,TRUE,
Loranthaceae,21,13,8,21,13,8,0,0,,,TRUE,
Lycopodiaceae,2,2,1,2,2,1,0,0,,,TRUE,
Lythraceae,38,35,13,38,35,13,0,0,,,TRUE,
Malpighiaceae,38,30,8,38,30,8,0,0,,,TRUE,
Malvaceae,166,77,48,166,77,48,0,0,,,TRUE,
Marcgraviaceae,1,1,1,1,1,1,0,0,,,TRUE,
Marchantiaceae,2,2,1,2,2,1,0,0,,,TRUE,
Melanthiaceae,7,6,3,7,6,3,0,0,,,TRUE,
Melastomataceae,27,27,7,27,27,7,0,0,,,TRUE,
Meliaceae,150,113,35,150,113,35,0,0,,,TRUE,
Menispermaceae,2,2,1,2,2,1,0,0,,,TRUE,
Mniaceae,15,15,2,15,15,2,0,0,,,TRUE,
Molluginaceae,2,2,1,2,2,1,0,0,,,TRUE,
Moraceae,1555,872,241,1554,871,240,1,1,JHGVLAHJJNKSAW-UHFFFAOYSA-N,carbon_count_below_14,TRUE,
Muntingiaceae,55,46,5,55,46,5,0,0,,,TRUE,
Musaceae,32,21,6,32,21,6,0,0,,,TRUE,
Myricaceae,84,48,19,84,48,19,0,0,,,TRUE,
Myristicaceae,161,99,38,161,99,38,0,0,,,TRUE,
Myrtaceae,312,190,68,312,190,68,0,0,,,TRUE,
Namaceae,19,14,6,19,14,6,0,0,,,TRUE,
Nelumbonaceae,10,8,4,10,8,4,0,0,,,TRUE,
Nothofagaceae,6,6,4,6,6,4,0,0,,,TRUE,
Nyctaginaceae,44,34,12,44,34,12,0,0,,,TRUE,
Nymphaeaceae,13,12,3,13,12,3,0,0,,,TRUE,
Ochnaceae,104,70,39,104,70,39,0,0,,,TRUE,
Olacaceae,4,4,2,4,4,2,0,0,,,TRUE,
Oleaceae,1,1,1,1,1,1,0,0,,,TRUE,
Onagraceae,63,24,7,63,24,7,0,0,,,TRUE,
Onocleaceae,29,21,5,29,21,5,0,0,,,TRUE,
Ophioglossaceae,2,2,1,2,2,1,0,0,,,TRUE,
Orchidaceae,161,109,25,161,109,25,0,0,,,TRUE,
Oxalidaceae,6,6,1,6,6,1,0,0,,,TRUE,
Paeoniaceae,10,10,2,10,10,2,0,0,,,TRUE,
Pandaceae,3,3,2,3,3,2,0,0,,,TRUE,
Papaveraceae,8,7,7,8,7,7,0,0,,,TRUE,
Paracryphiaceae,9,9,1,9,9,1,0,0,,,TRUE,
Passifloraceae,4,4,3,4,4,3,0,0,,,TRUE,
Paulowniaceae,148,99,8,148,99,8,0,0,,,TRUE,
Pentaphylacaceae,2,2,1,2,2,1,0,0,,,TRUE,
Petiveriaceae,13,13,1,13,13,1,0,0,,,TRUE,
Phrymaceae,33,17,4,33,17,4,0,0,,,TRUE,
Phyllanthaceae,109,81,20,109,81,20,0,0,,,TRUE,
Physenaceae,7,7,1,7,7,1,0,0,,,TRUE,
Phytolaccaceae,2,2,1,2,2,1,0,0,,,TRUE,
Pinaceae,428,166,72,428,166,72,0,0,,,TRUE,
Piperaceae,209,111,54,206,110,53,3,1,MYNYNZOFYYKQDQ-UHFFFAOYSA-N,carbon_count_below_14,TRUE,
Plantaginaceae,32,24,16,32,24,16,0,0,,,TRUE,
Platanaceae,21,20,7,21,20,7,0,0,,,TRUE,
Plumbaginaceae,47,33,11,47,33,11,0,0,,,TRUE,
Poaceae,72,61,20,72,61,20,0,0,,,TRUE,
Podocarpaceae,55,44,9,55,44,9,0,0,,,TRUE,
Polygalaceae,8,8,5,8,8,5,0,0,,,TRUE,
Polygonaceae,229,144,54,229,144,54,0,0,,,TRUE,
Polypodiaceae,37,27,12,37,27,12,0,0,,,TRUE,
Polytrichaceae,7,7,2,7,7,2,0,0,,,TRUE,
Pontederiaceae,1,1,1,0,0,0,1,1,UGWLWTKODVAUFB-UHFFFAOYSA-N,zero_oxygen;contains_nitrogen,FALSE,no_primary_structure_eligible_compounds
Portulacaceae,4,4,2,4,4,2,0,0,,,TRUE,
Posidoniaceae,1,1,1,1,1,1,0,0,,,TRUE,
Primulaceae,32,27,10,32,27,10,0,0,,,TRUE,
Proteaceae,11,11,3,11,11,3,0,0,,,TRUE,
Pteridaceae,134,101,27,134,101,27,0,0,,,TRUE,
Ranunculaceae,22,19,10,22,19,10,0,0,,,TRUE,
Rhamnaceae,175,119,27,175,119,27,0,0,,,TRUE,
Rhizophoraceae,95,64,9,95,64,9,0,0,,,TRUE,
Rosaceae,1158,299,208,1158,299,208,0,0,,,TRUE,
Rubiaceae,179,118,50,179,118,50,0,0,,,TRUE,
Rutaceae,1067,318,196,1063,316,194,4,2,DIKOBVULVNJCCO-NTEUORMPSA-N;DIKOBVULVNJCCO-ZROIWOOFSA-N,carbon_count_below_14;contains_nitrogen,TRUE,
Salicaceae,238,79,46,238,79,46,0,0,,,TRUE,
Santalaceae,126,78,15,126,78,15,0,0,,,TRUE,
Sapindaceae,137,78,31,137,78,31,0,0,,,TRUE,
Sapotaceae,38,26,13,37,25,12,1,1,KRIOVPPHQSLHCZ-UHFFFAOYSA-N,carbon_count_below_14,TRUE,
Sarcolaenaceae,16,15,2,16,15,2,0,0,,,TRUE,
Sarraceniaceae,10,1,1,10,1,1,0,0,,,TRUE,
Saururaceae,1,1,1,1,1,1,0,0,,,TRUE,
Saxifragaceae,36,26,14,36,26,14,0,0,,,TRUE,
Schisandraceae,28,21,7,28,21,7,0,0,,,TRUE,
Sciadopityaceae,3,3,1,3,3,1,0,0,,,TRUE,
Scrophulariaceae,9,9,4,9,9,4,0,0,,,TRUE,
Selaginellaceae,29,26,10,29,26,10,0,0,,,TRUE,
Simaroubaceae,33,25,8,33,25,8,0,0,,,TRUE,
Siparunaceae,7,7,2,7,7,2,0,0,,,TRUE,
Smilacaceae,88,62,15,88,62,15,0,0,,,TRUE,
Solanaceae,105,63,19,105,63,19,0,0,,,TRUE,
Stachyuraceae,10,10,2,10,10,2,0,0,,,TRUE,
Stemonaceae,32,16,4,32,16,4,0,0,,,TRUE,
Symplocaceae,3,3,2,3,3,2,0,0,,,TRUE,
Tamaricaceae,4,2,2,4,2,2,0,0,,,TRUE,
Taxaceae,9,8,4,9,8,4,0,0,,,TRUE,
Tectariaceae,6,6,1,6,6,1,0,0,,,TRUE,
Theaceae,545,128,110,543,126,109,2,2,FDOIILRSEMNMIH-UHFFFAOYSA-N;VGQRIILEZYZAOE-UHFFFAOYSA-N,carbon_count_below_14;substantial_multicomponent_input;standardized_inchikey_connectivity_changed,TRUE,
Thelypteridaceae,86,74,15,86,74,15,0,0,,,TRUE,
Thymelaeaceae,179,87,44,179,87,44,0,0,,,TRUE,
Trochodendraceae,1,1,1,1,1,1,0,0,,,TRUE,
Typhaceae,15,6,3,15,6,3,0,0,,,TRUE,
Ulmaceae,18,15,5,18,15,5,0,0,,,TRUE,
Urticaceae,18,6,3,18,6,3,0,0,,,TRUE,
Velloziaceae,13,10,3,13,10,3,0,0,,,TRUE,
Verbenaceae,21,15,8,21,15,8,0,0,,,TRUE,
Viburnaceae,25,19,8,25,19,8,0,0,,,TRUE,
Violaceae,15,15,5,15,15,5,0,0,,,TRUE,
Vitaceae,339,100,85,338,99,85,1,1,FAQJJMHZNSSFSM-UHFFFAOYSA-N,carbon_count_below_14,TRUE,
Vochysiaceae,30,28,2,30,28,2,0,0,,,TRUE,
Winteraceae,4,3,2,4,3,2,0,0,,,TRUE,
Woodsiaceae,8,8,1,8,8,1,0,0,,,TRUE,
Zingiberaceae,382,184,66,382,184,66,0,0,,,TRUE,
Zygophyllaceae,9,7,3,9,7,3,0,0,,,TRUE,
