family,expected_order,expected_clade,n_sister_tips,sister_tips,sister_orders,sister_clades,same_order_sister,same_clade_sister
Ephedraceae,Gnetales,Gymnosperms,1,Gnetaceae,Gnetales,Gymnosperms,TRUE,TRUE
Gnetaceae,Gnetales,Gymnosperms,1,Ephedraceae,Gnetales,Gymnosperms,TRUE,TRUE
Ginkgoaceae,Ginkgoales,Gymnosperms,3,Cycadaceae;Ephedraceae;Gnetaceae,Cycadales;Gnetales,Gymnosperms,FALSE,TRUE
Dryopteridaceae,Polypodiales,Ferns,3,Polypodiaceae;Tectariaceae;Davalliaceae,Polypodiales,Ferns,TRUE,TRUE
Polypodiaceae,Polypodiales,Ferns,2,Tectariaceae;Davalliaceae,Polypodiales,Ferns,TRUE,TRUE
Tectariaceae,Polypodiales,Ferns,1,Davalliaceae,Polypodiales,Ferns,TRUE,TRUE
Davalliaceae,Polypodiales,Ferns,1,Tectariaceae,Polypodiales,Ferns,TRUE,TRUE
Blechnaceae,Polypodiales,Ferns,1,Onocleaceae,Polypodiales,Ferns,TRUE,TRUE
Onocleaceae,Polypodiales,Ferns,1,Blechnaceae,Polypodiales,Ferns,TRUE,TRUE
Athyriaceae,Polypodiales,Ferns,2,Blechnaceae;Onocleaceae,Polypodiales,Ferns,TRUE,TRUE
Woodsiaceae,Polypodiales,Ferns,3,Blechnaceae;Onocleaceae;Athyriaceae,Polypodiales,Ferns,TRUE,TRUE
Thelypteridaceae,Polypodiales,Ferns,4,Blechnaceae;Onocleaceae;Athyriaceae;Woodsiaceae,Polypodiales,Ferns,TRUE,TRUE
Aspleniaceae,Polypodiales,Ferns,9,Dryopteridaceae;Polypodiaceae;Tectariaceae;Davalliaceae;Blechnaceae;Onocleaceae;Athyriaceae;Woodsiaceae;Thelypteridaceae,Polypodiales,Ferns,TRUE,TRUE
Dennstaedtiaceae,Polypodiales,Ferns,10,Dryopteridaceae;Polypodiaceae;Tectariaceae;Davalliaceae;Blechnaceae;Onocleaceae;Athyriaceae;Woodsiaceae;Thelypteridaceae;Aspleniaceae,Polypodiales,Ferns,TRUE,TRUE
Pteridaceae,Polypodiales,Ferns,11,Dryopteridaceae;Polypodiaceae;Tectariaceae;Davalliaceae;Blechnaceae;Onocleaceae;Athyriaceae;Woodsiaceae;Thelypteridaceae;Aspleniaceae;Dennstaedtiaceae,Polypodiales,Ferns,TRUE,TRUE
Cyatheaceae,Cyatheales,Ferns,12,Dryopteridaceae;Polypodiaceae;Tectariaceae;Davalliaceae;Blechnaceae;Onocleaceae;Athyriaceae;Woodsiaceae;Thelypteridaceae;Aspleniaceae;Dennstaedtiaceae;Pteridaceae,Polypodiales,Ferns,FALSE,TRUE
Gleicheniaceae,Gleicheniales,Ferns,13,Dryopteridaceae;Polypodiaceae;Tectariaceae;Davalliaceae;Blechnaceae;Onocleaceae;Athyriaceae;Woodsiaceae;Thelypteridaceae;Aspleniaceae;Dennstaedtiaceae;Pteridaceae;Cyatheaceae,Polypodiales;Cyatheales,Ferns,FALSE,TRUE
Equisetaceae,Equisetales,Ferns,14,Dryopteridaceae;Polypodiaceae;Tectariaceae;Davalliaceae;Blechnaceae;Onocleaceae;Athyriaceae;Woodsiaceae;Thelypteridaceae;Aspleniaceae;Dennstaedtiaceae;Pteridaceae;Cyatheaceae;Gleicheniaceae,Polypodiales;Cyatheales;Gleicheniales,Ferns,FALSE,TRUE
Ophioglossaceae,Ophioglossales,Ferns,15,Dryopteridaceae;Polypodiaceae;Tectariaceae;Davalliaceae;Blechnaceae;Onocleaceae;Athyriaceae;Woodsiaceae;Thelypteridaceae;Aspleniaceae;Dennstaedtiaceae;Pteridaceae;Cyatheaceae;Gleicheniaceae;Equisetaceae,Polypodiales;Cyatheales;Gleicheniales;Equisetales,Ferns,FALSE,TRUE
Lycopodiaceae,Lycopodiales,Lycophytes,1,Selaginellaceae,Lycopodiales,Lycophytes,TRUE,TRUE
Selaginellaceae,Lycopodiales,Lycophytes,1,Lycopodiaceae,Lycopodiales,Lycophytes,TRUE,TRUE
