resolved_accepted_id,taxonID,scientificName,taxonomicStatus,acceptedNameUsageID,family,genus,taxonRank,taxonomic_status_norm,exact_name_norm,key,match_exact_original,match_canonical_key,included_as_accepted_target,accepted_name_resolved,accepted_family_resolved,accepted_genus_resolved,accepted_rank_resolved
,wfo-0000486955,Platanus hispanica,Unchecked,,Platanaceae,Platanus,species,unchecked,platanus hispanica,platanus hispanica,TRUE,TRUE,FALSE,,,,
,wfo-0001224178,Platanus hispanica,Unchecked,,Platanaceae,Platanus,species,unchecked,platanus hispanica,platanus hispanica,TRUE,TRUE,FALSE,,,,
,wfo-0000486957,Platanus hybrida,Unchecked,,Platanaceae,Platanus,species,unchecked,platanus hybrida,platanus hybrida,TRUE,TRUE,FALSE,,,,
wfo-0000487082,wfo-0000487082,Platanus occidentalis,Accepted,,Platanaceae,Platanus,species,accepted,platanus occidentalis,platanus occidentalis,TRUE,TRUE,TRUE,Platanus occidentalis,Platanaceae,Platanus,species
wfo-0000487086,wfo-0000487086,Platanus orientalis,Accepted,,Platanaceae,Platanus,species,accepted,platanus orientalis,platanus orientalis,TRUE,TRUE,TRUE,Platanus orientalis,Platanaceae,Platanus,species
wfo-0000182203,wfo-0000182203,Plathymenia reticulata,Accepted,,Fabaceae,Plathymenia,species,accepted,plathymenia reticulata,plathymenia reticulata,TRUE,TRUE,TRUE,Plathymenia reticulata,Fabaceae,Plathymenia,species
wfo-0001067482,wfo-0001067482,Platycarya strobilacea,Accepted,,Juglandaceae,Platycarya,species,accepted,platycarya strobilacea,platycarya strobilacea,TRUE,TRUE,TRUE,Platycarya strobilacea,Juglandaceae,Platycarya,species
wfo-4000030092,wfo-4000030092,Platycladus,Accepted,,Cupressaceae,Platycladus,genus,accepted,platycladus,platycladus,TRUE,TRUE,TRUE,Platycladus,Cupressaceae,Platycladus,genus
wfo-0000396774,wfo-0000396774,Platycladus orientalis,Accepted,,Cupressaceae,Platycladus,species,accepted,platycladus orientalis,platycladus orientalis,TRUE,TRUE,TRUE,Platycladus orientalis,Cupressaceae,Platycladus,species
wfo-0000816758,wfo-0000816758,Platycodon grandiflorus,Accepted,,Campanulaceae,Platycodon,species,accepted,platycodon grandiflorus,platycodon grandiflorus,TRUE,TRUE,TRUE,Platycodon grandiflorus,Campanulaceae,Platycodon,species
