key,n_wfo_rows,n_taxon_ids,n_resolved_accepted_ids,n_resolved_accepted_names,n_resolved_families,scientific_names,taxonomic_statuses,resolved_accepted_ids,resolved_accepted_names,resolved_families,resolved_genera,resolved_ranks,any_exact_original_match,any_canonical_key_match,any_included_as_accepted_target,key_resolution_status
pinalia pandurata,1,1,1,1,1,Pinalia pandurata,accepted,wfo-0000922211,Pinalia pandurata,Orchidaceae,Pinalia,species,TRUE,TRUE,TRUE,single_accepted_id
pinus,1,1,1,1,1,Pinus,accepted,wfo-4000029794,Pinus,Pinaceae,Pinus,genus,TRUE,TRUE,TRUE,single_accepted_id
pinus aristata,1,1,1,1,1,Pinus aristata,accepted,wfo-0000482619,Pinus aristata,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus armandii,1,1,1,1,1,Pinus armandii,accepted,wfo-0000482309,Pinus armandii,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus banksiana,1,1,1,1,1,Pinus banksiana,accepted,wfo-0000482353,Pinus banksiana,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus brutia,1,1,1,1,1,Pinus brutia,accepted,wfo-0000482336,Pinus brutia,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus bungeana,1,1,1,1,1,Pinus bungeana,accepted,wfo-0000482252,Pinus bungeana,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus cembra,1,1,1,1,1,Pinus cembra,accepted,wfo-0000482273,Pinus cembra,Pinaceae,Pinus,species,FALSE,FALSE,TRUE,single_accepted_id
pinus clausa,1,1,1,1,1,Pinus clausa,accepted,wfo-0000481362,Pinus clausa,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus contorta,1,1,1,1,1,Pinus contorta,accepted,wfo-0000481330,Pinus contorta,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus halepensis,1,1,1,1,1,Pinus halepensis,accepted,wfo-0000481363,Pinus halepensis,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus hartwegii,1,1,1,1,1,Pinus hartwegii,accepted,wfo-0000481375,Pinus hartwegii,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus jeffreyi,1,1,1,1,1,Pinus jeffreyi,accepted,wfo-0000481099,Pinus jeffreyi,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus kesiya,1,1,1,1,1,Pinus kesiya,accepted,wfo-0000481052,Pinus kesiya,Pinaceae,Pinus,species,FALSE,FALSE,TRUE,single_accepted_id
pinus koraiensis,1,1,1,1,1,Pinus koraiensis,accepted,wfo-0000481082,Pinus koraiensis,Pinaceae,Pinus,species,FALSE,FALSE,TRUE,single_accepted_id
pinus krempfii,1,1,1,1,1,Pinus krempfii,accepted,wfo-0000481085,Pinus krempfii,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus lambertiana,1,1,1,1,1,Pinus lambertiana,accepted,wfo-0000481091,Pinus lambertiana,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus monticola,1,1,1,1,1,Pinus monticola,accepted,wfo-0000481790,Pinus monticola,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus morrisonicola,1,1,1,1,1,Pinus morrisonicola,accepted,wfo-0000481792,Pinus morrisonicola,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus mugo,1,1,1,1,1,Pinus mugo,accepted,wfo-0000481789,Pinus mugo,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus parviflora,1,1,1,1,1,Pinus parviflora,accepted,wfo-0000481883,Pinus parviflora,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus peuce,1,1,1,1,1,Pinus peuce,accepted,wfo-0000481889,Pinus peuce,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus pinaster,1,1,1,1,1,Pinus pinaster,accepted,wfo-0000481910,Pinus pinaster,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus pinea,1,1,1,1,1,Pinus pinea,accepted,wfo-0000481895,Pinus pinea,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus ponderosa,1,1,1,1,1,Pinus ponderosa,accepted,wfo-0000481903,Pinus ponderosa,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus radiata,1,1,1,1,1,Pinus radiata,accepted,wfo-0000481837,Pinus radiata,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus sylvestris var. sylvestris,1,1,1,1,1,Pinus sylvestris var. sylvestris,accepted,wfo-0001091635,Pinus sylvestris var. sylvestris,Pinaceae,Pinus,variety,FALSE,FALSE,TRUE,single_accepted_id
pinus thunbergii,1,1,1,1,1,Pinus thunbergii,accepted,wfo-0000481662,Pinus thunbergii,Pinaceae,Pinus,species,FALSE,FALSE,TRUE,single_accepted_id
pinus uncinata,1,1,1,1,1,Pinus uncinata,accepted,wfo-0000481563,Pinus uncinata,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus virginiana,1,1,1,1,1,Pinus virginiana,accepted,wfo-0000481611,Pinus virginiana,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
pinus wallichiana,1,1,1,1,1,Pinus wallichiana,accepted,wfo-0000481612,Pinus wallichiana,Pinaceae,Pinus,species,TRUE,TRUE,TRUE,single_accepted_id
piper aduncum,2,2,1,1,1,Piper aduncum,accepted | unchecked,wfo-0000479665,Piper aduncum,Piperaceae,Piper,species,TRUE,TRUE,TRUE,single_accepted_id
piper auritum,1,1,1,1,1,Piper auritum,accepted,wfo-0000479549,Piper auritum,Piperaceae,Piper,species,FALSE,FALSE,TRUE,single_accepted_id
piper bowiei,1,1,1,1,1,Piper bowiei,accepted,wfo-0001254033,Piper bowiei,Piperaceae,Piper,species,TRUE,TRUE,TRUE,single_accepted_id
piper coruscans,1,1,1,1,1,Piper coruscans,accepted,wfo-0000478587,Piper coruscans,Piperaceae,Piper,species,TRUE,TRUE,TRUE,single_accepted_id
piper crassinervium,1,1,1,1,1,Piper crassinervium,accepted,wfo-0000478616,Piper crassinervium,Piperaceae,Piper,species,TRUE,TRUE,TRUE,single_accepted_id
piper cubeba,3,3,1,1,1,Piper cubeba,accepted | unchecked,wfo-0000478712,Piper cubeba,Piperaceae,Piper,species,TRUE,TRUE,TRUE,single_accepted_id
piper dilatatum,2,2,1,1,1,Piper dilatatum,accepted | unchecked,wfo-0000478691,Piper dilatatum,Piperaceae,Piper,species,TRUE,TRUE,TRUE,single_accepted_id
piper fadyenii,1,1,1,1,1,Piper fadyenii,accepted,wfo-0000479172,Piper fadyenii,Piperaceae,Piper,species,TRUE,TRUE,TRUE,single_accepted_id
piper gaudichaudianum,2,2,1,1,1,Piper gaudichaudianum,accepted | unchecked,wfo-0001092115,Piper gaudichaudianum,Piperaceae,Piper,species,TRUE,TRUE,TRUE,single_accepted_id
piper guanacostense,1,1,1,1,1,Piper guanacostense,accepted,wfo-0001092125,Piper guanacostense,Piperaceae,Piper,species,TRUE,TRUE,TRUE,single_accepted_id
piper hostmannianum,1,1,1,1,1,Piper hostmannianum,accepted,wfo-0000478999,Piper hostmannianum,Piperaceae,Piper,species,TRUE,TRUE,TRUE,single_accepted_id
piper latifolium,1,1,1,1,1,Piper latifolium,accepted,wfo-0001277147,Piper latifolium,Piperaceae,Piper,species,FALSE,FALSE,TRUE,single_accepted_id
piper lhotzkyanum,1,1,1,1,1,Piper lhotzkyanum,accepted,wfo-0001092156,Piper lhotzkyanum,Piperaceae,Piper,species,TRUE,TRUE,TRUE,single_accepted_id
piper longicaudatum,1,1,1,1,1,Piper longicaudatum,accepted,wfo-0001093825,Piper longicaudatum,Piperaceae,Piper,species,TRUE,TRUE,TRUE,single_accepted_id
piper longum,1,1,1,1,1,Piper longum,accepted,wfo-0000486013,Piper longum,Piperaceae,Piper,species,FALSE,FALSE,TRUE,single_accepted_id
piper mexicanum,1,1,1,1,1,Piper mexicanum,accepted,wfo-0001249130,Piper mexicanum,Piperaceae,Piper,species,FALSE,FALSE,TRUE,single_accepted_id
