original_name,exact_name,key,legacy_n_accepted_ids,legacy_resolved,hierarchical_resolved,comparison_status,match_rule,resolution_status,accepted_name,accepted_id,accepted_family,accepted_genus,accepted_rank
Schizolaena hystrix,schizolaena hystrix,schizolaena hystrix,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Schizolaena hystrix,wfo-0000627787,Sarcolaenaceae,Schizolaena,species
Hernandia nymphaeifolia,hernandia nymphaeifolia,hernandia nymphaeifolia,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Hernandia nymphaeifolia,wfo-0000720609,Hernandiaceae,Hernandia,species
Desmodium oojeinense,desmodium oojeinense,desmodium oojeinense,1,TRUE,TRUE,resolved_by_both,exact_synonym,exact_synonym_unique,Ougeinia oojeinensis,wfo-0000186403,Fabaceae,Ougeinia,species
Glochidion zeylanicum,glochidion zeylanicum,glochidion zeylanicum,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Glochidion zeylanicum,wfo-0000973663,Phyllanthaceae,Glochidion,species
Sorghum bicolor,sorghum bicolor,sorghum bicolor,2,FALSE,TRUE,recovered_by_hierarchical_rules,exact_accepted,exact_accepted_unique,Sorghum bicolor,wfo-0000900184,Poaceae,Sorghum,species
Sophora secundiflora ex,sophora secundiflora ex,sophora secundiflora,1,TRUE,TRUE,resolved_by_both,canonical,canonical_unique,Dermatophyllum secundiflorum,wfo-0001042783,Fabaceae,Dermatophyllum,species
Dermatophyllum secundiflorum,dermatophyllum secundiflorum,dermatophyllum secundiflorum,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Dermatophyllum secundiflorum,wfo-0001042783,Fabaceae,Dermatophyllum,species
Calia secundiflora,calia secundiflora,calia secundiflora,1,TRUE,TRUE,resolved_by_both,exact_synonym,exact_synonym_unique,Dermatophyllum secundiflorum,wfo-0001042783,Fabaceae,Dermatophyllum,species
Sophora secundiflora,sophora secundiflora,sophora secundiflora,1,TRUE,TRUE,resolved_by_both,exact_synonym,exact_synonym_unique,Dermatophyllum secundiflorum,wfo-0001042783,Fabaceae,Dermatophyllum,species
Millettia pendula,millettia pendula,millettia pendula,1,TRUE,TRUE,resolved_by_both,exact_synonym,exact_synonym_unique,Imbralyx leucanthus var. leucanthus,wfo-1200002228,Fabaceae,Imbralyx,variety
Artemisia campestris,artemisia campestris,artemisia campestris,4,FALSE,TRUE,recovered_by_hierarchical_rules,exact_accepted,exact_accepted_unique,Artemisia campestris,wfo-0000068600,Asteraceae,Artemisia,species
Harpalyce brasiliana,harpalyce brasiliana,harpalyce brasiliana,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Harpalyce brasiliana,wfo-0000170586,Fabaceae,Harpalyce,species
