original_name,exact_name,key,accepted_name,accepted_id,accepted_ids,accepted_family,accepted_genus,accepted_rank,source_status,tax_status,match_rule,resolution_status,n_candidate_rows,n_candidate_accepted_ids,n_candidate_taxonomies,tax_provider,tax_checked_at,name_id
Dracaena cinnabari,dracaena cinnabari,dracaena cinnabari,Dracaena cinnabari,wfo-0000765713,wfo-0000765713,Asparagaceae,Dracaena,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,389
Eucomis montana,eucomis montana,eucomis montana,Eucomis montana,wfo-0000767053,wfo-0000767053,Asparagaceae,Eucomis,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,390
Lycium chinense,lycium chinense,lycium chinense,Lycium chinense,wfo-0001022784,wfo-0001022784,Solanaceae,Lycium,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,391
Eleutherococcus brachypus,eleutherococcus brachypus,eleutherococcus brachypus,Eleutherococcus brachypus,wfo-0000948048,wfo-0000948048,Araliaceae,Eleutherococcus,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,392
Sorocea bonplandii,sorocea bonplandii,sorocea bonplandii,Sorocea bonplandii,wfo-0000505885,wfo-0000505885,Moraceae,Sorocea,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,393
Baphia nitida,baphia nitida,baphia nitida,Baphia nitida,wfo-0000212016,wfo-0000212016,Fabaceae,Baphia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,394
Lotus corniculatus,lotus corniculatus,lotus corniculatus,Lotus corniculatus,wfo-0000212180,wfo-0000212180,Fabaceae,Lotus,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,395
Centrolobium tomentosum,centrolobium tomentosum,centrolobium tomentosum,Centrolobium tomentosum,wfo-0000174030,wfo-0000174030,Fabaceae,Centrolobium,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,396
Lonchocarpus negrensis,lonchocarpus negrensis,lonchocarpus negrensis,Deguelia amazonica,wfo-0000173321,wfo-0000173321,Fabaceae,Deguelia,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,397
Medicago sativa,medicago sativa,medicago sativa,Medicago sativa,wfo-0000213468,wfo-0000213468,Fabaceae,Medicago,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,398
Gliricidia sepium,gliricidia sepium,gliricidia sepium,Gliricidia sepium,wfo-0000178022,wfo-0000178022,Fabaceae,Gliricidia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,399
Caragana tibetica,caragana tibetica,caragana tibetica,Caragana tibetica,wfo-0000186075,wfo-0000186075,Fabaceae,Caragana,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,400
Pleione bulbocodioides,pleione bulbocodioides,pleione bulbocodioides,Pleione bulbocodioides,wfo-0000276360,wfo-0000276360,Orchidaceae,Pleione,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,401
Raphanus sativus,raphanus sativus,raphanus sativus,Raphanus sativus,wfo-0000402430,wfo-0000402430,Brassicaceae,Raphanus,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,402
Millettia hemsleyana,millettia hemsleyana,millettia hemsleyana,Millettia xylocarpa,wfo-0000185891,wfo-0000185891,Fabaceae,Millettia,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,403
Macaranga alnifolia,macaranga alnifolia,macaranga alnifolia,Macaranga alnifolia,wfo-0000231795,wfo-0000231795,Euphorbiaceae,Macaranga,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,404
Kandelia candel,kandelia candel,kandelia candel,Kandelia candel,wfo-0001131563,wfo-0001131563,Rhizophoraceae,Kandelia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,405
Artocarpus lacucha,artocarpus lacucha,artocarpus lacucha,Artocarpus lacucha,wfo-0000550516,wfo-0000550516,Moraceae,Artocarpus,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,406
Dalea scandens,dalea scandens,dalea scandens,Dalea scandens,wfo-0000169124,wfo-0000169124,Fabaceae,Dalea,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,407
Morella serrata,morella serrata,morella serrata,Myrica serrata,wfo-0000447295,wfo-0000447295,Myricaceae,Myrica,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,408
